parkID,parkName,lat,lng,capacity,emptyCapacity,workHours,parkType,freeTime,district,isOpen
1832,Eyüp İstanbul Caddesi 4,41.177,28.8866,21,17,09:00-20:00,YOL ÜSTÜ,15,EYÜP,0
1833,Eyüp İstanbul Caddesi 5,41.1772,28.8858,30,22,09:00-20:00,YOL ÜSTÜ,15,EYÜP,0
1834,Eyüp İstanbul Caddesi 6,41.1778,28.885,11,3,09:00-20:00,YOL ÜSTÜ,15,EYÜP,0
1835,Eyüp İstanbul Caddesi 7,41.1782,28.8847,31,31,09:00-20:00,YOL ÜSTÜ,15,EYÜP,0
1836,Eyüp İstanbul Caddesi 8,41.1782,28.8844,40,40,09:00-20:00,YOL ÜSTÜ,15,EYÜP,0
904,Eyüp Pierloti Caddesi 1,41.0542,28.933,40,22,09:00-22:00,YOL ÜSTÜ,0,EYÜP,0
905,Eyüp Pierloti Caddesi 2,41.0542,28.9329,40,40,09:00-22:00,YOL ÜSTÜ,0,EYÜP,0
1643,Eyüp Pierloti Caddesi 3,41.0554,28.9332,40,34,09:00-22:00,YOL ÜSTÜ,0,EYÜP,0
1782,Eyüp Tekke Parkı,41.0565,28.9398,100,93,08:00-19:00,AÇIK OTOPARK,15,EYÜP,0
2850,Eyüpsultan Akşemsettin Mahallesi Zemin Altı Otoparkı,41.0851,28.9258,110,0,24 Saat,KAPALI OTOPARK,15,EYÜP,1
2287,Fatih Akşemsettin Caddesi 1,41.022,28.9444,30,30,09:00-18:00,YOL ÜSTÜ,15,FATİH,0
2292,Fatih Akşemsettin Caddesi 2,41.0204,28.9416,30,15,09:00-18:00,YOL ÜSTÜ,15,FATİH,0
2288,Fatih Akşemsettin Caddesi 4,41.0212,28.9429,30,18,08:30-19:00,YOL ÜSTÜ,15,FATİH,0
2215,Fatih Çeşmesi Tabiat Parkı Otoparkı,41.169,28.9463,250,248,08:00-18:00,AÇIK OTOPARK,0,SARIYER,0
2275,Fatih Halıcılar Caddesi 1,41.0183,28.9482,40,33,09:00-17:30,YOL ÜSTÜ,15,FATİH,0
